ASIN,FBA_Cost_USD,NARF_Cost_USD
B07G9PQ6XN,56.86,60.26
B07G9PWTVL,51.21,54.27
B07G9PZHGG,44.43,47.07
B07G9Q9NYM,54.6,57.87
B07G9QB47G,51.21,54.27
B07G9QNQ4Y,44.43,47.07
B07G9RD666,44.43,47.07
B07G9RDKGN,51.21,54.27
B07G9S6THM,73.81,78.25
B07G9SQ53P,53.47,56.67
B07GCQB73R,55.73,59.06
B07GGYJWVX,41.04,43.18
B07GGZ6YK7,56.86,60.26
B07GM6JWD3,51.21,54.27
B07GM8Z4DR,55.73,59.06
B07GM99JNH,50.08,53.07
B07H1WJL3C,54.6,57.87
B07H1XFDT2,50.08,53.07
B07H84FGGN,62.51,66.26
B07H8519PY,47.82,50.67
B07HGFSHJC,52.34,55.47
B07HM43QR6,39.91,41.99
B07HWMLTHC,71.55,75.91
B07HWMVNLZ,29.95,27.71
B07HWMW2BT,37.65,39.61
B07HWNG49K,29.95,27.71
B07HWNG49R,59.12,62.71
B07HWP5TV4,44.43,47.07
B07HWPJL61,50.08,53.07
B07HWPLJMP,65.9,69.91
B07HWQRMWR,39.91,41.99
B07HWRK62Z,29.95,27.71
B07HWSDMCL,65.9,69.91
B07HWSXZ3X,54.6,57.87
B07HWSY4GS,59.12,62.71
B07HWT7WMJ,29.95,27.71
B07HWTRBGQ,36.52,38.42
B07HWV2TS2,55.73,59.06
B07HWV5KGQ,43.3,45.56
B07HWVC16Q,29.95,27.71
B07HWVDFF4,11.61,11.05
B07HWVWNGH,62.51,66.31
B07HWWPHY1,55.73,59.06
B07HWWQYKR,29.95,27.71
B07HWX4QV6,11.61,11.05
B07HWX7C7G,61.38,65.11
B07HWX7MSJ,54.6,57.87
B07HWXBV6H,52.34,55.47
B07HWXD4WY,29.95,27.71
B07HWXDVQ6,53.47,56.67
B07HWXG9GP,29.95,27.71
B07HWYBSWR,29.95,27.71
B07HWYMHGK,29.95,27.71
B07HWZ61KY,56.86,60.26
B07HWZFP6J,11.61,11.05
B07HX15ZNP,54.6,57.87
B07HX2ZD3B,56.86,60.31
B07HX311PX,54.6,57.87
B07HX39BQZ,62.51,66.31
B07HX3KRR9,48.95,51.87
B07HX3TNTW,44.43,46.75
B07HX48CFK,29.95,27.71
B07HX4J5MW,43.3,45.56
B07HX5G39D,11.61,11.05
B07HX5G39G,11.61,11.05
B07HX61KT3,29.95,27.71
B07HX65P1Z,53.47,56.67
B07HX686BR,69.29,73.51
B07HX6JRY8,29.95,27.71
B07HX8WWJY,54.6,57.87
B07HX9JHBG,70.42,74.71
B07JB94NCK,50.08,53.07
B07JBJFJJ8,26.02,24.14
B07JC9Z3JW,52.34,55.47
B07KT74SBK,52.34,55.47
B07KT8PS7P,50.08,53.07
B07KT8SKN1,52.34,55.47
B07KT8Z47W,50.08,53.07
B07LBYD7XB,29.95,27.71
B07LBYRK5B,32.57,30.09
B07LBYY3KL,29.95,27.71
B07LBYZWVK,32.57,30.09
B07LBZGQJD,81.72,86.02
B07LBZRCD7,29.95,27.71
B07LBZVTRG,29.95,27.71
B07LC11VCP,29.95,27.71
B07LC14WYZ,29.95,27.71
B07LC1F4Y2,29.95,27.71
B07LC1KLVP,29.95,27.71
B07LC1NFP7,29.95,27.71
B07LC1WC2N,29.95,27.71
