ASIN,FBA_Cost,NARF_Cost
B00TU4PV3I,50.2198,44.01
B00TU4PV4M,50.2198,44.01
B00TU4PV4W,53.3612,46.79
B00TU4PV88,50.2198,44.01
B00TU4PVAG,53.3612,46.79
B00TU4PVAQ,50.2198,44.01
B00XRG0EOG,91.058,80.15
B0156TBCW4,87.9166,77.37
B0156TBCWE,86.3459,75.98
B0156TBD1O,86.3459,75.98
B0156TBD82,87.9166,77.37
B0156TBD9G,87.9166,77.37
B0156TBDDW,81.6338,71.81
B0156V175Y,86.3459,75.98
B0156V17AE,86.3459,75.98
B0156V17AO,81.6338,71.81
B0156V17AY,81.6338,71.81
B0156V17CM,87.9166,77.37
B0156V17DQ,86.3459,75.98
B0156V17EU,86.3459,75.98
B0156V17FE,81.6338,71.81
B0156V17G8,87.9166,77.37
B0156V17H2,87.9166,77.37
B0156V17JU,87.9166,77.37
B0156V17L8,81.6338,71.81
B017BN6098,65.9268,57.91
B018KKG9WO,72.2096,63.47
B018KKGCJE,76.9217,67.64
B018KLBXC4,72.2096,63.47
B018RRES2I,76.9217,67.64
B01AVT0KKY,54.9319,48.18
B01AVT0LPI,53.3612,46.79
B01B6ESTHY,61.2147,53.74
B01BA72PJU,113.0478,99.61
B01IW7PPBG,75.351,66.25
B01IW7PQR4,76.9217,67.64
B01K1YTZ9Q,30.1482,23.1461
B01LQVMCC0,65.9268,57.91
B01LQVME7I,70.6389,62.08
B01LWOJGCA,53.3612,46.79
B01LXYZ9JI,81.6338,71.81
B01LYB3HNO,53.3612,46.79
B01M0L466G,50.2198,44.01
B01M7N87OS,72.2096,63.47
B06Y5RKLLY,61.2147,53.74
B06Y5RP3MM,65.9268,57.91
B06Y5SDXJZ,61.2147,53.74
B06Y5TP91T,72.2096,63.47
B06Y5TVDR1,67.4975,59.3
B06Y5TVFVF,67.4975,59.3
B06Y5TWKDV,72.2096,63.47
B06Y5TWM8F,67.4975,59.3
B06Y5TY1F7,72.2096,63.47
B06Y5TZS68,70.6389,62.08
B06Y5WSCDS,61.2147,53.74
B06Y5WVF7L,61.2147,53.74
B06Y5YGF3G,70.6389,62.08
B06Y6291YF,72.2096,63.47
B06Y62BVTZ,72.2096,63.47
B06Y62BWKW,67.4975,59.3
B06Y62M7K4,67.4975,59.3
B06Y62PMZ3,70.6389,62.08
B06Y63MMJT,67.4975,59.3
B06Y647SC8,70.6389,62.08
B06Y64CFW9,61.2147,53.74
B06Y64P7QS,67.4975,59.3
B06Y64Q1WD,72.2096,63.47
B06Y64W4T5,65.9268,57.91
B06Y64YTVT,72.2096,63.47
B06Y65BGB2,65.9268,57.91
B07141RY1B,72.2096,63.47
B072F5DZPG,61.2147,53.74
B073GZFGX1,75.351,66.25
B073QXGS7Z,56.5026,49.57
B073YZB6BH,78.4924,69.03
B073Z5Q95T,76.9217,67.64
B073Z5VWDV,73.7803,64.86
B074LS4VZB,20.3626,17.5861
B074M1NZS1,20.3626,17.5861
B0756JMLHX,50.2198,44.01
B075BT8FCD,70.6389,62.08
B075C1JX5H,61.2147,53.74
B075C3TR7J,70.6389,62.08
B075C4DW23,72.2096,63.47
B075C57GZM,61.2147,53.74
B075C64TPZ,65.9268,57.91
B075C6JLVS,87.9166,77.37
B075C7Q17M,54.9319,48.18
B075C826N4,67.4975,59.3
B0764K97MF,91.058,80.15
B076DL1LZW,72.2096,63.47
B076DLNB7P,86.3459,75.98
B076JNGVNB,76.9217,67.64
B076MVHL13,95.7701,84.32
B076MWXKBL,108.3357,95.44
B076NFKP4G,87.9166,77.37
B076PG4JMD,105.1943,92.66
B076PLKF3X,103.6236,91.27
B076PLKGMZ,149.1739,131.58
B076PLYXS9,124.0427,109.34
B076TCVL8J,67.4975,59.3
B0776758GY,76.9217,67.64
B07767K2VW,72.2096,63.47
B0776DHJL4,65.9268,57.91
B0776HH8HT,72.2096,63.47
B0776HRPTF,67.4975,59.3
B077CFLT4X,67.4975,59.3
B077QV8VQ6,78.4924,69.03
B077QXVH43,75.351,66.25
B077RGMZDT,72.2096,63.47
B077RHGF5N,75.351,66.25
B077S214TH,75.351,66.25
B077WDW37H,100.4822,88.49
B077XJFKFQ,70.6389,62.08
B077XMYG3W,67.4975,59.3
B0784MZ9WZ,72.2096,63.47
B0784NDV1D,76.9217,67.64
B078LJSNBZ,87.9166,77.37
B078LJTY4X,81.6338,71.81
B078LS141W,86.3459,75.98
B078LXRG6N,75.351,66.25
B078NXHWG2,75.351,66.25
B078NZDDMC,72.2096,63.47
B078NZXCTN,76.9217,67.64
B078P1HKMK,76.9217,67.64
B078P2KC5H,75.351,66.25
B078P3PGYD,72.2096,63.47
B078QCZJWH,102.0529,89.88
B078TYXYRM,102.0529,89.88
B078V1DD8F,76.9217,67.64
B078V2JCXW,36.0835,31.5
B078V2PG39,65.9268,57.91
B078V5H9GG,31.3714,27.33
B0793D8N5F,15.5949,12.04
B0793JGFHV,15.5949,12.04
B0793JJTYV,15.5949,12.04
B0793K2SX1,15.5949,12.04
B0793K9FYX,15.5949,12.04
B0793KXHT9,15.5949,12.04
B0793L451J,15.5949,12.04
B0793LBRFG,21.0437,16.1961
B0793YCQ2J,78.4924,69.03
B079478L6Y,102.0529,89.88
B07958SWM9,56.5026,49.57
B07958V484,50.2198,44.01
B07958XN32,53.3612,46.79
B07958YZCV,54.9319,48.18
B07958ZG1K,59.644,52.35
B0795935VJ,56.5026,49.57
B0795952M5,53.3612,46.79
B07959HMSB,53.3612,46.79
B07959JSR7,53.3612,46.79
B07959QXLL,59.644,52.35
B07959YQN6,50.2198,44.01
B0795B3W6W,56.5026,49.57
B0795BDNF6,50.2198,44.01
B0795C6K84,72.2096,63.47
B0795D4HXQ,75.351,66.25
B0795DQY7K,65.9268,57.91
B0797YPNW3,53.3612,46.79
B0797YQ79S,21.0437,16.1961
B0797YTJJ5,54.9319,48.18
B0797Z39JL,54.9319,48.18
B0797ZC1QL,54.9319,48.18
B0798RHD92,35.6248,27.33
B079N6C374,61.2147,53.74
B079N9H6NN,65.9268,57.91
B079TM6BD9,72.2096,63.47
B079TN31QH,61.2147,53.74
B079TN4N38,65.9268,57.91
B079TXPNGG,64.3561,56.52
B07B2Y36RW,41.0875,31.5
B07B2YKX8X,41.0875,31.5
B07B2YZKNB,15.5949,12.04
B07B2Z2Y3F,41.0875,31.5
B07B2Z8P7S,15.5949,12.04
B07B2Z91XR,41.0875,31.5
B07B2ZDMGJ,41.0875,31.5
B07B2ZF6H7,41.0875,31.5
B07B2ZFNVR,41.0875,31.5
B07B2ZJG58,21.0437,16.1961
B07B2ZKGJ8,15.5949,12.04
B07B2ZL8HX,15.5949,12.04
B07B2ZMC54,41.0875,31.5
B07B2ZQ5M8,41.0875,31.5
B07B2ZRLC3,21.0437,16.1961
B07B2ZRXTT,41.0875,31.5
B07B2ZTM58,41.0875,31.5
B07B2ZWLGN,41.0875,31.5
B07B2ZXGLV,15.5949,12.04
B07B2ZXYQG,41.0875,31.5
B07B311NPJ,41.0875,31.5
B07B31G2VW,41.0875,31.5
B07B31GY74,41.0875,31.5
B07B31N6XK,41.0875,31.5
B07B31VZVT,41.0875,31.5
B07B3JP8BM,70.6389,62.08
B07B3YD1CW,32.9421,28.72
B07B422148,54.9319,48.18
B07B66NSLP,59.644,52.35
B07B67TQHX,70.6389,62.08
B07B7PRB9G,81.6338,71.81
B07BP8GBVB,102.0529,89.88
B07BT1Y7G1,69.0682,60.69
B07BT2T9BZ,116.1892,102.39
B07BTH79MT,69.0682,60.69
B07BTHF28D,72.2096,63.47
B07C36XSDF,69.0682,60.69
B07C3ZCWPT,67.4975,59.3
B07C3ZSN93,67.4975,59.3
B07C9TLZJD,78.4924,69.03
B07C9TN3MS,65.9268,57.91
B07CNCRV3R,35.6248,27.33
B07CRD1SZF,67.4975,59.3
B07CVMNWMM,41.0875,31.5
B07CVNV99L,41.0875,31.5
B07CVNX743,41.0875,31.5
B07D2BMTLM,62.7854,55.13
B07D336DVD,91.058,80.15
B07D41Y7T2,75.351,66.25
B07D422NSN,73.7803,64.86
B07DBLF492,70.6389,62.08
B07DF91ZQ4,67.4975,59.3
B07DF9KJZP,72.2096,63.47
B07DFCHR8D,65.9268,57.91
B07DLDHWDH,54.9319,48.18
B07DT9VK89,73.7803,64.86
B07DTDX4L4,76.9217,67.64
B07F5SBNGP,54.9319,48.18
B07F6JJ7PW,78.4924,69.03
B07FK2VRMQ,81.6338,71.81
B07FN6RR96,80.0631,70.42
B07FP7TZKH,149.1739,131.58
B07FPFNWWY,149.1739,131.58
B07FPT65ZC,91.058,80.15
B07FPVC8DM,91.058,80.15
B07FPVJKD2,91.058,80.15
B07FR9MYLQ,41.0875,31.5
B07FRTKXKZ,75.351,66.25
B07FV2LFXN,76.9217,67.64
B07G7GS9LH,35.6248,27.33
B07G7K971H,35.6248,27.33
B07G9KZ7DK,65.9268,57.91
B07G9M2GR6,70.6389,62.08
B07G9M2W4Y,65.9268,57.91
B07G9MCDJY,69.0682,60.69
B07G9MDMDG,70.6389,62.08
B07G9MP42M,73.7803,64.86
B07G9MWB3T,73.7803,64.86
B07G9MWJ8W,70.6389,62.08
B07G9MZCPZ,65.9268,57.91
B07G9N7YKS,78.4924,69.03
B07G9N8NF2,102.0529,89.88
B07G9N8RYC,73.7803,64.86
B07G9NQ4JJ,102.0529,89.88
B07G9NR5Q2,65.9268,57.91
B07G9NWKHZ,70.6389,62.08
B07G9NWKJ1,70.6389,62.08
B07G9NYG57,65.9268,57.91
B07G9NYG78,59.644,52.35
B07G9NYJX1,61.2147,53.74
B07G9PMYGC,65.9268,57.91
B07G9PQ6XN,78.4924,69.03
B07G9PWTVL,70.6389,62.08
B07G9PZHGG,61.2147,53.74
B07G9Q9NYM,75.351,66.25
B07G9QB47G,70.6389,62.08
B07G9QNQ4Y,61.2147,53.74
B07G9RD666,61.2147,53.74
B07G9RDKGN,70.6389,62.08
B07G9S6THM,102.0529,89.88
B07G9SQ53P,73.7803,64.86
B07GCQB73R,76.9217,67.64
B07GGYJWVX,56.5026,49.57
B07GGZ6YK7,78.4924,69.03
B07GM6JWD3,70.6389,62.08
B07GM8Z4DR,76.9217,67.64
B07GM99JNH,69.0682,60.69
B07H1WJL3C,75.351,66.25
B07H1XFDT2,69.0682,60.69
B07H84FGGN,86.3459,75.98
B07H8519PY,65.9268,57.91
B07HGFSHJC,72.2096,63.47
B07HM43QR6,54.9319,48.18
B07HWMLTHC,98.9115,87.1
B07HWMVNLZ,41.0875,31.5
B07HWMW2BT,51.7905,45.4
B07HWNG49K,41.0875,31.5
B07HWNG49R,81.6338,71.81
B07HWP5TV4,61.2147,53.74
B07HWPJL61,69.0682,60.69
B07HWPLJMP,91.058,80.15
B07HWQRMWR,54.9319,48.18
B07HWRK62Z,41.0875,31.5
B07HWSDMCL,91.058,80.15
B07HWSXZ3X,75.351,66.25
B07HWSY4GS,81.6338,71.81
B07HWT7WMJ,41.0875,31.5
B07HWTRBGQ,50.2198,44.01
B07HWV2TS2,76.9217,67.64
B07HWV5KGQ,59.644,52.35
B07HWVC16Q,41.0875,31.5
B07HWVDFF4,15.5949,12.04
B07HWVWNGH,86.3459,75.98
B07HWWPHY1,76.9217,67.64
B07HWWQYKR,41.0875,31.5
B07HWX4QV6,15.5949,12.04
B07HWX7C7G,84.7752,74.59
B07HWX7MSJ,75.351,66.25
B07HWXBV6H,72.2096,63.47
B07HWXD4WY,41.0875,31.5
B07HWXDVQ6,73.7803,64.86
B07HWXG9GP,41.0875,31.5
B07HWYBSWR,41.0875,31.5
B07HWYMHGK,41.0875,31.5
B07HWZ61KY,78.4924,69.03
B07HWZFP6J,15.5949,12.04
B07HX15ZNP,75.351,66.25
B07HX2ZD3B,78.4924,69.03
B07HX311PX,75.351,66.25
B07HX39BQZ,86.3459,75.98
B07HX3KRR9,67.4975,59.3
B07HX3TNTW,61.2147,53.74
B07HX48CFK,41.0875,31.5
B07HX4J5MW,59.644,52.35
B07HX5G39D,15.5949,12.04
B07HX5G39G,15.5949,12.04
B07HX61KT3,41.0875,31.5
B07HX65P1Z,73.7803,64.86
B07HX686BR,95.7701,84.32
B07HX6JRY8,41.0875,31.5
B07HX8WWJY,75.351,66.25
B07HX9JHBG,97.3408,85.71
B07JB94NCK,69.0682,60.69
B07JBJFJJ8,35.6248,27.33
B07JC9Z3JW,72.2096,63.47
B07KT74SBK,72.2096,63.47
B07KT8PS7P,69.0682,60.69
B07KT8SKN1,72.2096,63.47
B07KT8Z47W,69.0682,60.69
B07LBYD7XB,41.0875,31.5
B07LBYRK5B,44.7293,34.28
B07LBYY3KL,41.0875,31.5
B07LBYZWVK,44.7293,34.28
B07LBZGQJD,113.0478,99.61
B07LBZRCD7,41.0875,31.5
B07LBZVTRG,41.0875,31.5
B07LC11VCP,41.0875,31.5
B07LC14WYZ,41.0875,31.5
B07LC1F4Y2,41.0875,31.5
B07LC1KLVP,41.0875,31.5
B07LC1NFP7,41.0875,31.5
B07LC1WC2N,41.0875,31.5
B07LC2GXZT,41.0875,31.5
B07LC34HPV,41.0875,31.5
B07LC3L4N7,41.0875,31.5
B07LFBWC8L,76.9217,67.64
B07LFC28NW,15.5949,12.04
B07LFCDLDM,70.6389,62.08
B07LFJDD77,73.7803,64.86
B07LFJR8MN,75.351,66.25
B07LFKFV81,76.9217,67.64
B07LFKHVQ7,76.9217,67.64
B07LFKVSGY,76.9217,67.64
B07LFL1C2V,76.9217,67.64
B07LFL5CRF,76.9217,67.64
B07LFLHQPZ,69.0682,60.69
B07LFLL8XX,76.9217,67.64
B07LFLNC6Z,73.7803,64.86
B07LFM2WM5,86.3459,75.98
B07LFMG84F,76.9217,67.64
B07LFMHLD6,86.3459,75.98
B07LFMHYZZ,76.9217,67.64
B07LFMKC8N,86.3459,75.98
B07LFMKRF3,86.3459,75.98
B07LFMLWGN,86.3459,75.98
B07LFMT2C2,86.3459,75.98
B07LG5KWNG,83.2045,73.2
B07LGD45LC,86.3459,75.98
B07LGDDCB7,83.2045,73.2
B07LGDLB6C,83.2045,73.2
B07LGDNL6G,83.2045,73.2
B07LGDR322,86.3459,75.98
B07LGDY4SL,86.3459,75.98
B07LGDYYYT,86.3459,75.98
B07LGDZ4YW,86.3459,75.98
B07LGF8KZ8,86.3459,75.98
B07LGFJ1DP,86.3459,75.98
B07LGFRCWV,83.2045,73.2
B07LGFWJFC,86.3459,75.98
B07LGG3MXG,83.2045,73.2
B07LGGF2W2,83.2045,73.2
B07LGHR61T,86.3459,75.98
B07LGHTWBV,83.2045,73.2
B07MS8VT2M,76.9217,67.64
B07N2X9KTY,67.4975,59.3
B07N66KFWC,65.9268,57.91
B07N68MSH3,70.6389,62.08
B07N6FY1Q9,62.7854,55.13
B07N6HN434,73.7803,64.86
B07N6HVMSK,69.0682,60.69
B07NCLMZD7,73.7803,64.86
B07NNP8BRS,65.9268,57.91
B07NPGBNHC,81.6338,71.81
B07PDHS3ZN,56.5026,49.57
B07PDHS674,58.0733,50.96
B07PDN41MF,67.4975,59.3
B07PF93YMN,65.9268,57.91
B07PFFKM11,61.2147,53.74
B07PFFM9S3,58.0733,50.96
B07PFFMKLZ,56.5026,49.57
B07PGHFJMC,56.5026,49.57
B07PGJ2M9B,58.0733,50.96
B07PGK11WH,61.2147,53.74
B07PGKWQDM,61.2147,53.74
B07PGKYRZ9,59.644,52.35
B07PHKN9LW,70.6389,62.08
B07PHL9T1D,59.644,52.35
B07PHLGYH6,59.644,52.35
B07PJ1JL89,72.2096,63.47
B07PJPLKQW,61.2147,53.74
B07PMRWBG5,80.0631,70.42
B07PNT3L9P,75.351,66.25
B07PNT48N2,86.3459,75.98
B07PVPYGS6,72.2096,63.47
B07PWM6NV3,69.0682,60.69
B07PXXQYR4,87.9166,77.37
B07PYY6FH4,75.351,66.25
B07PZVTRXR,76.9217,67.64
B07PZWLW96,59.644,52.35
B07Q3XSSHS,65.9268,57.91
B07R99JVXT,22.8368,17.5722
B07RBFSYN6,22.8368,17.5722
B07RDQNPJJ,73.7803,64.86
B07RDWS2GZ,22.8368,17.5722
B07RJTQ99V,67.4975,59.3
B07RL2TLX7,75.351,66.25
B07RZ9M99J,65.9268,57.91
B07S376X32,65.9268,57.91
B07S37C51X,34.4989,30.0961
B07S49F8CY,54.9319,48.18
B07S8XXDCG,41.0875,31.5
B07SC4D3JM,41.0875,31.5
B07SC4DCN3,41.0875,31.5
B07SD6THQN,41.0875,31.5
B07SD7CWX6,41.0875,31.5
B07SD7QN89,41.0875,31.5
B07SF75TFV,41.0875,31.5
B07SF8MS9S,41.0875,31.5
B07TJCLN1X,73.7803,64.86
B07TLHFBRZ,75.351,66.25
B07TRQ55RH,73.7803,64.86
B07TS5W9R6,73.7803,64.86
B07TS5WHBM,75.351,66.25
B07TSBCXWL,62.7854,55.13
B07TSBDM2V,34.4989,30.0961
B07TSBDY26,86.3459,75.98
B07TT9BGVK,117.7599,103.78
B07TTFT2NJ,30.1482,23.1461
B07TTFTG92,185.3,163.55
B07TTFTLBL,72.2096,63.47
B07TTFV6S4,91.058,80.15
B07TVGG1S5,35.6248,27.33
B07TVGH4VW,69.0682,60.69
B07TWB6821,67.4975,59.3
B07TWK97VF,91.058,80.15
B07TWK9TMB,35.6248,27.33
B07TWK9Z9V,69.0682,60.69
B07TWSX572,70.6389,62.08
B07TXBY9T5,69.0682,60.69
B07TXCH88F,69.0682,60.69
B07TXN7HKW,86.3459,75.98
B07TXN97SD,22.8368,17.5722
B07TXNB4GZ,86.3459,75.98
B07TXWW3QD,73.7803,64.86
B07TYHB9NY,69.0682,60.69
B07TYKQG1J,72.2096,63.47
B07TYL3YZ5,75.351,66.25
B07TYLD26N,54.9319,48.18
B07V5WL3TJ,102.0529,89.88
B07VBMSSPL,69.0682,60.69
B07X2Z973F,73.7803,64.86
B07X43FYCC,72.2096,63.47
B07X63XHGH,75.351,66.25
B07XBM7YNH,70.6389,62.08
B07XCQ47BF,72.2096,63.47
B07XDLRBJT,81.6338,71.81
B07YLYX5K1,69.0682,60.69
B07YYYMPNX,69.0682,60.69
B07ZDGXSMX,75.351,66.25
B07ZPD6FYS,91.058,80.15
B07ZZCTPY6,50.2198,44.01
B07ZZFVMRZ,53.3612,46.79
B07ZZGR25H,56.5026,49.57
B07ZZH3NGZ,54.9319,48.18
B07ZZLG2QM,41.0875,31.5
B07ZZLL363,41.0875,31.5
B07ZZM2VJY,41.0875,31.5
B07ZZMCD5Z,41.0875,31.5
B081S2FG53,72.2096,63.47
B081S5S3L1,65.9268,57.91
B081S8VWMY,65.9268,57.91
B081SL5CN7,75.351,66.25
B081TS7G5V,89.4873,78.76
B081Z7XHQ4,67.4975,59.3
B081ZGBQR4,78.4924,69.03
B08283WHG7,61.2147,53.74
B08283YQHJ,61.2147,53.74
B082849F3S,65.9268,57.91
B082849TF3,61.2147,53.74
B082VVT7YF,73.7803,64.86
B082VVYQJ6,78.4924,69.03
B082VWHKHS,51.7905,45.4
B082VWHYMF,75.351,66.25
B082VWL4WL,50.2198,44.01
B082VWQ5CW,51.7905,45.4
B082VWRZN8,54.9319,48.18
B082VWTPM4,64.3561,56.52
B082VWWCS4,64.3561,56.52
B082VWWF57,50.2198,44.01
B082VWZCXP,50.2198,44.01
B082VWZQ1B,64.3561,56.52
B082VX251R,50.2198,44.01
B082VX44WN,54.9319,48.18
B082VX62K6,64.3561,56.52
B082VX6PTK,64.3561,56.52
B082VXX3M3,64.3561,56.52
B084KRTJRY,41.0875,31.5
B084KXGNPS,41.0875,31.5
B084KZ5J5T,41.0875,31.5
B084KZNN38,41.0875,31.5
B084ZWR3W4,22.8785,17.6
B084ZXDTNY,22.8785,17.6
B084ZXF6QJ,22.8785,17.6
B084ZXJPSB,22.8785,17.6
B084ZXTPY6,54.9319,48.18
B084ZXVY1C,54.9319,48.18
B0857L7ZFM,41.0875,31.5
B0857LRC3L,41.0875,31.5
B0857LT9PD,41.0875,31.5
B085885B8X,41.0875,31.5
B08641WHNR,76.9217,67.64
B08641X3SJ,75.351,66.25
B08641Z6TQ,73.7803,64.86
B0864273ZY,86.3459,75.98
B08642GVHT,73.7803,64.86
B08642RWR4,76.9217,67.64
B08642S43T,67.4975,59.3
B08642V8KM,72.2096,63.47
B08642X5KS,75.351,66.25
B08642Z1FN,75.351,66.25
B086434V2X,75.351,66.25
B086438BCD,76.9217,67.64
B08643BD45,76.9217,67.64
B08643C3KJ,70.6389,62.08
B08643GF3X,76.9217,67.64
B08643KDDC,73.7803,64.86
B08643LK7D,73.7803,64.86
B08643M777,75.351,66.25
B08643Q95N,76.9217,67.64
B08643QN9P,73.7803,64.86
B086VP94L9,105.1943,92.66
B086VPBNWQ,105.1943,92.66
B0874SL5VC,76.9217,67.64
B0882LQ4DV,42.3663,37.06
B0882PJJT2,42.3663,37.06
B0882PVCKP,42.3663,37.06
B0882Y297K,42.3663,37.06
B08886Z9ZC,102.0529,89.88
B08B1VXVRN,10.9384,9.2461
B08C2CSJCB,76.9217,67.64
B08CDBRN5Y,54.9319,48.18
B08CGGMNY4,61.2147,53.74
B08CGHKXW4,150.7446,132.97
B08CGK1DBQ,62.7854,55.13
B08CGKXL9L,182.1586,160.77
B08CGP5RG9,65.9268,57.91
B08CGYB5WW,59.644,52.35
B08CK9FVFP,89.4873,78.76
B08CKGXSVC,92.6287,81.54
B08CKP8PQB,89.4873,78.76
B08CMJX2T1,89.4873,78.76
B08CMQY2PG,86.3459,75.98
B08CMTMK8Z,92.6287,81.54
B08CN19ZS1,89.4873,78.76
B08CRGB8FM,53.3612,46.79
B08CRKQMW4,53.3612,46.79
B08CRLWGZ6,53.3612,46.79
B08CRMX15X,53.3612,46.79
B08CRPQ2TK,65.9268,57.91
B08CRR19XD,180.5879,159.38
B08CTVNQX2,69.0682,60.69
B08CTXJV25,69.0682,60.69
B08CTZ2QJ3,69.0682,60.69
B08CV6CVSD,75.351,66.25
B08CV6LMHV,73.7803,64.86
B08CZL5C1Q,35.6248,27.33
B08D686BV5,50.2198,44.01
B08D6FYSWH,86.3459,75.98
B08D7HCDRX,75.351,66.25
B08D7HRKC5,76.9217,67.64
B08D7HRRH9,78.4924,69.03
B08D8ZKSPX,81.6338,71.81
B08DCSVWVG,86.3459,75.98
B08DCW1NVN,81.6338,71.81
B08DDCKMB5,81.6338,71.81
B08DKFKLHB,70.6389,62.08
B08DNGJXQW,75.351,66.25
B08DQND82H,76.9217,67.64
B08DR3NVQP,69.0682,60.69
B08DR3R38X,76.9217,67.64
B08DR4M4D3,72.2096,63.47
B08DR5146J,75.351,66.25
B08DXRNMT6,73.7803,64.86
B08F21ZQNX,41.0875,31.5
B08F23YW9F,41.0875,31.5
B08F24RY35,41.0875,31.5
B08F2B68K9,41.0875,31.5
B08F51H6JX,142.8911,126.02
B08F9VDXYY,62.7854,55.13
B08FJC4H82,41.0875,31.5
B08FZQ86LC,89.4873,78.76
B08FZQKQM6,92.6287,81.54
B08GL2DPFV,65.9268,57.91
B08J44J82H,91.058,80.15
B08J4CKYJB,72.2096,63.47
B08KJ5QF3R,35.6248,27.33
B08LZZ4K2Y,81.6338,71.81
B08MV7F876,108.3357,95.44
B08MV7JNFW,108.3357,95.44
B08MV7M139,108.3357,95.44
B08MV8PCX8,108.3357,95.44
B08MV98CKP,108.3357,95.44
B08MWR6XZ7,81.6338,71.81
B08PFPFKJY,86.3459,75.98
B08PTKCCF9,86.3459,75.98
B08PTLD29L,83.2045,73.2
B08PTM3P25,86.3459,75.98
B08Q3FCW4D,28.2161,24.5361
B08QDHJSLK,81.6338,71.81
B08QHZKNP2,97.3408,85.71
B08QJ24DTM,97.3408,85.71
B08QJ31RCH,97.3408,85.71
B08QJ31WCQ,97.3408,85.71
B08QJ3PCHY,97.3408,85.71
B08RDBHHJS,22.8785,17.6
B08S9596NX,22.8785,17.6
B08S9MDV4D,22.8785,17.6
B08TB6LPHM,75.351,66.25
B08TB6YT7H,73.7803,64.86
B08TB84SLK,76.9217,67.64
B08THQYRST,50.2198,44.01
B08TP4RMH3,54.9319,48.18
B08TP4XT2F,75.351,66.25
B08TP6XR1Z,65.9268,57.91
B08TP8LYPH,76.9217,67.64
B08TP8MC48,76.9217,67.64
B08TP8N6T7,86.3459,75.98
B08TPL8BLQ,73.7803,64.86
B08TPSXV9S,73.7803,64.86
B08TW7CPZH,76.9217,67.64
B08TW7ZHTM,75.351,66.25
B08TWC8FDV,69.0682,60.69
B08TWCYKV1,72.2096,63.47
B08TWDW1X2,72.2096,63.47
B08TWDWZ6P,76.9217,67.64
B08TWF7M6C,75.351,66.25
B08TWF87LC,69.0682,60.69
B08TWFHMB4,65.9268,57.91
B08TWFKP4L,76.9217,67.64
B08TWFR91B,65.9268,57.91
B08TWG2FDK,69.0682,60.69
B08V83QYY2,31.3714,27.33
B08V855MZ9,72.2096,63.47
B08V8921VD,72.2096,63.47
B08V8DR4DD,36.0835,31.5
B08V8FRVPW,31.3714,27.33
B08V8H2VWB,36.0835,31.5
B08V8LF88M,141.3204,124.63
B08V8LYB35,32.9421,28.72
B08V8M5G5H,31.3714,27.33
B08V8NVS9Z,36.0835,31.5
B08V8P8TB6,32.9421,28.72
B08V8XLYZ3,32.9421,28.72
B08VBDZKK3,41.0875,31.5
